2021-05-27 09:06:19,833 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVLWTR:2 :204
2021-05-27 09:06:19,833 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:TMP:0 :98
2021-05-27 09:06:19,842 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 09:07:19,844 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 09:08:19,847 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 09:09:19,870 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 09:10:19,841 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVL1:1 :112
2021-05-27 09:10:19,841 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVLWTR:2 :163
2021-05-27 09:10:19,841 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:TMP:0 :83
2021-05-27 09:10:19,850 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 09:11:19,853 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 09:12:19,843 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVL1:1 :111
2021-05-27 09:12:19,843 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVLWTR:2 :161
2021-05-27 09:12:19,843 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:TMP:0 :85
2021-05-27 09:12:19,856 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 09:13:19,855 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 09:14:19,866 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 09:15:19,849 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVL1:1 :144
2021-05-27 09:15:19,849 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVLWTR:2 :200
2021-05-27 09:15:19,849 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:TMP:0 :94
2021-05-27 09:15:19,859 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 09:16:19,853 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVL1:1 :158
2021-05-27 09:16:19,853 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVLWTR:2 :126
2021-05-27 09:16:19,864 MainThread      INFO     Roraima_Comm   :151      Se actualizo: tk1,3 TAGS
2021-05-27 09:17:19,856 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVL1:1 :98
2021-05-27 09:17:19,857 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:LVLWTR:2 :94
2021-05-27 09:17:19,857 MainThread      ERROR    Roraima_Comm   :132      Error en sensor Analogico (131) : tk1:TMP:0 :131
